#### EXPORT DONNEES METEO POUR "PARIS" (LAT/LON: 48.856614/2.3522219)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2021-01-01,3,2,7,2,3,3,0.5,86,7.75,1014,82.625,3,1,-0,116,332,122,0.3,1,3.2,météo très défavorable
2021-01-02,5,2,7,2,4,4,0.1,76,10,1015,54.75,5,2,1,122,116,116,0,1,8.6,météo très défavorable
2021-01-03,4,2,10,3,3,3,0.3,92,10,1016,71.375,4,2,0,122,116,119,0,1,8.6,météo très défavorable
2021-01-04,3,2,13,2,2,3,1,95,6.875,1015,100,3,2,-2,332,326,332,0.7,1,3.2,météo très défavorable
2021-01-05,3,2,14,2,2,3,0.4,94,7.75,1017,98.375,3,1,-2,326,332,371,0.1,1,3.2,météo très défavorable
2021-01-06,3,1,11,1,3,2,0.5,95,9.375,1019,96.625,3,1,-2,326,122,368,0.3,1,3.3,météo très défavorable
2021-01-07,3,1,7,1,3,2,1,92,6.75,1018,85,3,1,0,122,338,329,0.9,1,3.3,météo très défavorable
2021-01-08,3,1,5,1,2,1,0,88,10,1020,50.375,4,0,-1,116,326,116,0,1,5.1,météo très défavorable
2021-01-09,3,1,19,1,2,3,0,90,10,1025,22.75,3,0,-3,116,116,116,0,1,8.7,météo très défavorable
2021-01-10,4,0,12,0,2,3,0,88,10,1026,12.5,4,0,-4,116,116,116,0,2,8.7,météo très défavorable
2021-01-11,4,1,8,1,3,4,0,84,10,1026,49.75,4,2,0,116,116,122,0,2,5.1,météo très défavorable
2021-01-12,9,6,23,6,8,9,17.3,95,8.5,1019,100,9,8,2,296,296,296,0,2,3.3,météo très défavorable
2021-01-13,9,5,20,5,7,9,7.2,98,5.25,1021,96.375,9,7,5,119,296,266,0,2,3.3,météo très défavorable
2021-01-14,9,8,18,9,9,9,4.4,89,6.625,1021,97.75,9,7,6,266,176,296,0,2,3.3,météo défavorable
2021-01-15,5,2,17,3,3,3,0.4,89,9.875,1030,52.125,7,5,-3,176,323,113,0,1,6.9,météo très défavorable
2021-01-16,1,0,15,0,1,-1,10.1,90,9.375,1030,79.75,1,2,-4,116,122,296,0,1,3.3,météo très défavorable
2021-01-17,7,4,11,4,5,5,0,93,9,1027,74.375,7,4,1,143,116,119,0,1,6.9,météo très défavorable
2021-01-18,6,3,13,3,4,5,0,94,9,1029,59.5,6,2,0,116,116,116,0,1,8.7,météo très défavorable
2021-01-19,8,4,23,4,6,7,2.2,84,8,1022,80,8,4,-0,119,266,122,0,2,3.3,météo très défavorable
2021-01-20,10,6,25,6,8,9,0.2,67,9,1008,86.875,10,4,3,122,119,116,0,2,5.1,météo défavorable
2021-01-21,10,7,25,8,8,5,13.6,74,7.375,997,82.375,10,7,3,296,116,266,0,2,5.1,météo défavorable
2021-01-22,7,5,12,6,6,5,11.1,86,6.875,995,95.875,7,4,3,176,122,296,0,2,3.4,météo très défavorable
2021-01-23,5,3,13,3,5,4,2.6,85,9,1000,64.125,5,3,0,116,122,362,0.7,2,3.4,météo très défavorable
2021-01-24,5,3,20,4,4,4,3.6,79,8.75,1004,42,5,1,0,113,116,119,1.2,2,5.2,météo très défavorable
2021-01-25,6,2,21,2,4,5,1.6,86,6.75,1015,64.5,6,0,-2,332,338,116,1.1,1,5.2,météo très défavorable
2021-01-26,5,1,13,1,4,4,0.1,84,10,1022,34.375,5,0,-1,116,116,116,0,2,8.7,météo très défavorable
2021-01-27,7,3,15,3,6,6,0.6,94,6.375,1020,98.125,8,7,-0,122,122,143,0,2,3.4,météo très défavorable
2021-01-28,13,10,22,10,12,12,11.8,92,8.625,1015,90,13,10,8,296,302,353,0,3,3.4,météo défavorable
2021-01-29,11,10,35,10,10,10,11.2,82,9.25,1007,93.75,11,10,7,302,176,353,0,3,3.5,météo défavorable
2021-01-30,12,9,18,9,11,11,17.5,94,8.375,1006,88.875,12,8,6,296,296,353,0,4,3.5,météo très défavorable
2021-01-31,9,5,14,6,6,7,3.6,85,6.875,1002,100,9,7,2,266,122,122,0,2,3.5,météo très défavorable
2021-02-01,10,9,10,9,10,10,7.1,94,7.125,1004,94,10,8,8,296,266,122,0,2,3.5,météo défavorable
2021-02-02,14,9,22,9,13,13,6,92,8.75,1007,93.625,14,9,6,266,296,353,0,4,3.5,météo défavorable
2021-02-03,12,10,41,12,11,10,11.5,88,8.75,1009,93.875,12,10,7,353,296,176,0,3,3.5,météo défavorable
2021-02-04,10,7,11,7,9,9,0.3,89,9,1013,71.5,10,7,5,119,122,119,0,3,3.5,météo défavorable
2021-02-05,11,8,8,8,10,10,0.1,92,9,1013,83.625,11,8,6,116,122,116,0,2,3.5,météo défavorable
2021-02-06,10,8,17,8,10,10,10.2,86,9,1010,99,10,9,6,296,176,296,0,2,3.5,météo défavorable
2021-02-07,8,5,20,6,5,4,5.1,82,6.125,999,93,8,6,1,266,122,317,0.3,1,3.5,météo très défavorable
2021-02-08,2,0,9,0,2,1,0.4,75,9.5,1000,75,2,0,-1,326,116,122,0.3,1,6.6,météo très défavorable
2021-02-09,0,-3,11,-3,-1,0,0,76,10,1005,87.125,0,0,-7,122,119,122,0,1,5,météo très défavorable
2021-02-10,-1,-4,22,-4,-2,-3,3.1,77,7,1020,43.875,0,0,-11,338,116,113,2.6,1,10,météo très défavorable
2021-02-11,0,-4,18,-4,-1,-0,0,67,10,1026,8.875,0,0,-8,116,116,116,0,2,10,météo très défavorable
2021-02-12,0,-2,26,-2,0,-1,0,40,10,1027,35.75,0,0,-8,116,122,116,0,2,10,météo très défavorable
